date,veg_name,whole_price,retail_price,shoping_mall_price,unit
2024-05-03,Amaranth Leaves,15,17 - 19,18 - 25,1kg
2024-05-03,Amla,70,81 - 89,84 - 116,1kg
2024-05-03,Ash gourd,19,22 - 24,23 - 31,1kg
2024-05-03,Baby Corn,56,64 - 71,67 - 92,1kg
2024-05-03,Banana Flower,15,17 - 19,18 - 25,1kg
2024-05-03,Capsicum,47,54 - 60,56 - 78,1kg
2024-05-03,Bitter Gourd,34,39 - 43,41 - 56,1kg
2024-05-03,Bottle Gourd,27,31 - 34,32 - 45,1kg
2024-05-03,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-03,Broad Beans,34,39 - 43,41 - 56,1kg
2024-05-03,Cabbage,22,25 - 28,26 - 36,1kg
2024-05-03,Carrot,43,49 - 55,52 - 71,1kg
2024-05-03,Cauliflower,26,30 - 33,31 - 43,1kg
2024-05-03,Cluster beans,41,47 - 52,49 - 68,1kg
2024-05-03,Coconut,34,39 - 43,41 - 56,1kg
2024-05-03,Colocasia Leaves,17,20 - 22,20 - 28,1kg
2024-05-03,Colocasia,29,33 - 37,35 - 48,1kg
2024-05-03,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-03,Corn,26,30 - 33,31 - 43,1kg
2024-05-03,Cucumber,26,30 - 33,31 - 43,1kg
2024-05-03,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-03,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-03,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-03,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-03,Brinjal (Big),25,29 - 32,30 - 41,1kg
2024-05-03,Elephant Yam,24,28 - 30,29 - 40,1kg
2024-05-03,Fenugreek Leaves,10,12 - 13,12 - 17,1kg
2024-05-03,French Beans,53,61 - 67,64 - 87,1kg
2024-05-03,Garlic,158,182 - 201,190 - 261,1kg
2024-05-03,Ginger,112,129 - 142,134 - 185,1kg
2024-05-03,Onion Green,43,49 - 55,52 - 71,1kg
2024-05-03,Green Peas,49,56 - 62,59 - 81,1kg
2024-05-03,Ivy Gourd,24,28 - 30,29 - 40,1kg
2024-05-03,Lemon (Lime),68,78 - 86,82 - 112,1kg
2024-05-03,Mango Raw,31,36 - 39,37 - 51,1kg
2024-05-03,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-03,Mushroom,95,109 - 121,114 - 157,1kg
2024-05-03,Mustard Leaves,12,14 - 15,14 - 20,1kg
2024-05-03,Ladies Finger,39,45 - 50,47 - 64,1kg
2024-05-03,Pumpkin,18,21 - 23,22 - 30,1kg
2024-05-03,Radish,24,28 - 30,29 - 40,1kg
2024-05-03,Ridge Gourd,32,37 - 41,38 - 53,1kg
2024-05-03,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg
2024-05-03,Snake Gourd,28,32 - 36,34 - 46,1kg
2024-05-03,Sorrel Leaves,11,13 - 14,13 - 18,1kg
2024-05-03,Spinach,17,20 - 22,20 - 28,1kg
2024-05-03,Sweet Potato,40,46 - 51,48 - 66,1kg
2024-05-04,Onion Big,25,29 - 32,30 - 41,1kg
2024-05-04,Onion Small,38,44 - 48,46 - 63,1kg
2024-05-04,Tomato,27,31 - 34,32 - 45,1kg
2024-05-04,Green Chilli,45,52 - 57,54 - 74,1kg
2024-05-04,Beetroot,39,45 - 50,47 - 64,1kg
2024-05-04,Potato,33,38 - 42,40 - 54,1kg
2024-05-04,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-04,Amaranth Leaves,15,17 - 19,18 - 25,1kg
2024-05-04,Amla,70,81 - 89,84 - 116,1kg
2024-05-04,Ash gourd,19,22 - 24,23 - 31,1kg
2024-05-04,Baby Corn,56,64 - 71,67 - 92,1kg
2024-05-04,Banana Flower,15,17 - 19,18 - 25,1kg
2024-05-04,Capsicum,47,54 - 60,56 - 78,1kg
2024-05-04,Bitter Gourd,34,39 - 43,41 - 56,1kg
2024-05-04,Bottle Gourd,27,31 - 34,32 - 45,1kg
2024-05-04,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-04,Broad Beans,34,39 - 43,41 - 56,1kg
2024-05-04,Cabbage,22,25 - 28,26 - 36,1kg
2024-05-04,Carrot,43,49 - 55,52 - 71,1kg
2024-05-04,Cauliflower,26,30 - 33,31 - 43,1kg
2024-05-04,Cluster beans,41,47 - 52,49 - 68,1kg
2024-05-04,Coconut,34,39 - 43,41 - 56,1kg
2024-05-04,Colocasia Leaves,17,20 - 22,20 - 28,1kg
2024-05-04,Colocasia,29,33 - 37,35 - 48,1kg
2024-05-04,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-04,Corn,26,30 - 33,31 - 43,1kg
2024-05-04,Cucumber,26,30 - 33,31 - 43,1kg
2024-05-04,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-04,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-04,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-04,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-04,Brinjal (Big),25,29 - 32,30 - 41,1kg
2024-05-04,Elephant Yam,24,28 - 30,29 - 40,1kg
2024-05-04,Fenugreek Leaves,10,12 - 13,12 - 17,1kg
2024-05-04,French Beans,53,61 - 67,64 - 87,1kg
2024-05-04,Garlic,158,182 - 201,190 - 261,1kg
2024-05-04,Ginger,112,129 - 142,134 - 185,1kg
2024-05-04,Onion Green,43,49 - 55,52 - 71,1kg
2024-05-04,Green Peas,49,56 - 62,59 - 81,1kg
2024-05-04,Ivy Gourd,24,28 - 30,29 - 40,1kg
2024-05-04,Lemon (Lime),68,78 - 86,82 - 112,1kg
2024-05-04,Mango Raw,31,36 - 39,37 - 51,1kg
2024-05-04,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-04,Mushroom,95,109 - 121,114 - 157,1kg
2024-05-04,Mustard Leaves,12,14 - 15,14 - 20,1kg
2024-05-04,Ladies Finger,39,45 - 50,47 - 64,1kg
2024-05-04,Pumpkin,18,21 - 23,22 - 30,1kg
2024-05-04,Radish,24,28 - 30,29 - 40,1kg
2024-05-04,Ridge Gourd,32,37 - 41,38 - 53,1kg
2024-05-04,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg
2024-05-04,Snake Gourd,28,32 - 36,34 - 46,1kg
2024-05-04,Sorrel Leaves,11,13 - 14,13 - 18,1kg
2024-05-04,Spinach,17,20 - 22,20 - 28,1kg
2024-05-04,Sweet Potato,40,46 - 51,48 - 66,1kg
2024-05-05,Onion Big,26,30 - 33,31 - 43,1kg
2024-05-05,Onion Small,35,40 - 44,42 - 58,1kg
2024-05-05,Tomato,24,28 - 30,29 - 40,1kg
2024-05-05,Green Chilli,43,49 - 55,52 - 71,1kg
2024-05-05,Beetroot,40,46 - 51,48 - 66,1kg
2024-05-05,Potato,31,36 - 39,37 - 51,1kg
2024-05-05,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-05,Amaranth Leaves,13,15 - 17,16 - 21,1kg
2024-05-05,Amla,70,81 - 89,84 - 116,1kg
2024-05-05,Ash gourd,21,24 - 27,25 - 35,1kg
2024-05-05,Baby Corn,55,63 - 70,66 - 91,1kg
2024-05-05,Banana Flower,18,21 - 23,22 - 30,1kg
2024-05-05,Capsicum,45,52 - 57,54 - 74,1kg
2024-05-05,Bitter Gourd,30,35 - 38,36 - 50,1kg
2024-05-05,Bottle Gourd,24,28 - 30,29 - 40,1kg
2024-05-05,Butter Beans,50,58 - 64,60 - 83,1kg
2024-05-05,Broad Beans,29,33 - 37,35 - 48,1kg
2024-05-05,Cabbage,18,21 - 23,22 - 30,1kg
2024-05-05,Carrot,45,52 - 57,54 - 74,1kg
2024-05-05,Cauliflower,26,30 - 33,31 - 43,1kg
2024-05-05,Cluster beans,40,46 - 51,48 - 66,1kg
2024-05-05,Coconut,36,41 - 46,43 - 59,1kg
2024-05-05,Colocasia Leaves,16,18 - 20,19 - 26,1kg
2024-05-05,Colocasia,27,31 - 34,32 - 45,1kg
2024-05-05,Coriander Leaves,7,8 - 9,8 - 12,1kg
2024-05-05,Corn,30,35 - 38,36 - 50,1kg
2024-05-05,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-05,Curry Leaves,29,33 - 37,35 - 48,1kg
2024-05-05,Dill Leaves,11,13 - 14,13 - 18,1kg
2024-05-05,Drumsticks,50,58 - 64,60 - 83,1kg
2024-05-05,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-05,Brinjal (Big),21,24 - 27,25 - 35,1kg
2024-05-05,Elephant Yam,30,35 - 38,36 - 50,1kg
2024-05-05,Fenugreek Leaves,12,14 - 15,14 - 20,1kg
2024-05-05,French Beans,49,56 - 62,59 - 81,1kg
2024-05-05,Garlic,174,200 - 221,209 - 287,1kg
2024-05-05,Ginger,114,131 - 145,137 - 188,1kg
2024-05-05,Onion Green,45,52 - 57,54 - 74,1kg
2024-05-05,Green Peas,41,47 - 52,49 - 68,1kg
2024-05-05,Ivy Gourd,23,26 - 29,28 - 38,1kg
2024-05-05,Lemon (Lime),61,70 - 77,73 - 101,1kg
2024-05-05,Mango Raw,25,29 - 32,30 - 41,1kg
2024-05-05,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-05,Mushroom,73,84 - 93,88 - 120,1kg
2024-05-05,Mustard Leaves,14,16 - 18,17 - 23,1kg
2024-05-05,Ladies Finger,40,46 - 51,48 - 66,1kg
2024-05-05,Pumpkin,21,24 - 27,25 - 35,1kg
2024-05-05,Radish,23,26 - 29,28 - 38,1kg
2024-05-05,Ridge Gourd,28,32 - 36,34 - 46,1kg
2024-05-05,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg
2024-05-05,Snake Gourd,25,29 - 32,30 - 41,1kg
2024-05-05,Sorrel Leaves,15,17 - 19,18 - 25,1kg
2024-05-05,Spinach,10,12 - 13,12 - 17,1kg
2024-05-05,Sweet Potato,36,41 - 46,43 - 59,1kg
2024-05-06,Onion Big,26,30 - 33,31 - 43,1kg
2024-05-06,Onion Small,35,40 - 44,42 - 58,1kg
2024-05-06,Tomato,24,28 - 30,29 - 40,1kg
2024-05-06,Green Chilli,43,49 - 55,52 - 71,1kg
2024-05-06,Beetroot,40,46 - 51,48 - 66,1kg
2024-05-06,Potato,31,36 - 39,37 - 51,1kg
2024-05-06,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-06,Amaranth Leaves,13,15 - 17,16 - 21,1kg
2024-05-06,Amla,70,81 - 89,84 - 116,1kg
2024-05-06,Ash gourd,21,24 - 27,25 - 35,1kg
2024-05-06,Baby Corn,55,63 - 70,66 - 91,1kg
2024-05-06,Banana Flower,18,21 - 23,22 - 30,1kg
2024-05-06,Capsicum,45,52 - 57,54 - 74,1kg
2024-05-06,Bitter Gourd,30,35 - 38,36 - 50,1kg
2024-05-06,Bottle Gourd,24,28 - 30,29 - 40,1kg
2024-05-06,Butter Beans,50,58 - 64,60 - 83,1kg
2024-05-06,Broad Beans,29,33 - 37,35 - 48,1kg
2024-05-06,Cabbage,18,21 - 23,22 - 30,1kg
2024-05-06,Carrot,45,52 - 57,54 - 74,1kg
2024-05-06,Cauliflower,26,30 - 33,31 - 43,1kg
2024-05-06,Cluster beans,40,46 - 51,48 - 66,1kg
2024-05-06,Coconut,36,41 - 46,43 - 59,1kg
2024-05-06,Colocasia Leaves,16,18 - 20,19 - 26,1kg
2024-05-06,Colocasia,27,31 - 34,32 - 45,1kg
2024-05-06,Coriander Leaves,7,8 - 9,8 - 12,1kg
2024-05-06,Corn,30,35 - 38,36 - 50,1kg
2024-05-06,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-06,Curry Leaves,29,33 - 37,35 - 48,1kg
2024-05-06,Dill Leaves,11,13 - 14,13 - 18,1kg
2024-05-06,Drumsticks,50,58 - 64,60 - 83,1kg
2024-05-06,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-06,Brinjal (Big),21,24 - 27,25 - 35,1kg
2024-05-06,Elephant Yam,30,35 - 38,36 - 50,1kg
2024-05-06,Fenugreek Leaves,12,14 - 15,14 - 20,1kg
2024-05-06,French Beans,49,56 - 62,59 - 81,1kg
2024-05-06,Garlic,174,200 - 221,209 - 287,1kg
2024-05-06,Ginger,114,131 - 145,137 - 188,1kg
2024-05-06,Onion Green,45,52 - 57,54 - 74,1kg
2024-05-06,Green Peas,41,47 - 52,49 - 68,1kg
2024-05-06,Ivy Gourd,23,26 - 29,28 - 38,1kg
2024-05-06,Lemon (Lime),61,70 - 77,73 - 101,1kg
2024-05-06,Mango Raw,25,29 - 32,30 - 41,1kg
2024-05-06,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-06,Mushroom,73,84 - 93,88 - 120,1kg
2024-05-06,Mustard Leaves,14,16 - 18,17 - 23,1kg
2024-05-06,Ladies Finger,40,46 - 51,48 - 66,1kg
2024-05-06,Pumpkin,21,24 - 27,25 - 35,1kg
2024-05-06,Radish,23,26 - 29,28 - 38,1kg
2024-05-06,Ridge Gourd,28,32 - 36,34 - 46,1kg
2024-05-06,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg
2024-05-06,Snake Gourd,25,29 - 32,30 - 41,1kg
2024-05-06,Sorrel Leaves,15,17 - 19,18 - 25,1kg
2024-05-06,Spinach,10,12 - 13,12 - 17,1kg
2024-05-06,Sweet Potato,36,41 - 46,43 - 59,1kg
2024-05-07,Onion Big,24,28 - 30,29 - 40,1kg
2024-05-07,Onion Small,33,38 - 42,40 - 54,1kg
2024-05-07,Tomato,25,29 - 32,30 - 41,1kg
2024-05-07,Green Chilli,40,46 - 51,48 - 66,1kg
2024-05-07,Beetroot,36,41 - 46,43 - 59,1kg
2024-05-07,Potato,28,32 - 36,34 - 46,1kg
2024-05-07,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-07,Amaranth Leaves,11,13 - 14,13 - 18,1kg
2024-05-07,Amla,60,69 - 76,72 - 99,1kg
2024-05-07,Ash gourd,21,24 - 27,25 - 35,1kg
2024-05-07,Baby Corn,61,70 - 77,73 - 101,1kg
2024-05-07,Banana Flower,15,17 - 19,18 - 25,1kg
2024-05-07,Capsicum,49,56 - 62,59 - 81,1kg
2024-05-07,Bitter Gourd,33,38 - 42,40 - 54,1kg
2024-05-07,Bottle Gourd,25,29 - 32,30 - 41,1kg
2024-05-07,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-07,Broad Beans,30,35 - 38,36 - 50,1kg
2024-05-07,Cabbage,20,23 - 25,24 - 33,1kg
2024-05-07,Carrot,46,53 - 58,55 - 76,1kg
2024-05-07,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-07,Cluster beans,40,46 - 51,48 - 66,1kg
2024-05-07,Coconut,37,43 - 47,44 - 61,1kg
2024-05-07,Colocasia Leaves,14,16 - 18,17 - 23,1kg
2024-05-07,Colocasia,28,32 - 36,34 - 46,1kg
2024-05-07,Coriander Leaves,7,8 - 9,8 - 12,1kg
2024-05-07,Corn,28,32 - 36,34 - 46,1kg
2024-05-07,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-07,Curry Leaves,28,32 - 36,34 - 46,1kg
2024-05-07,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-07,Drumsticks,50,58 - 64,60 - 83,1kg
2024-05-07,Brinjal,23,26 - 29,28 - 38,1kg
2024-05-07,Brinjal (Big),22,25 - 28,26 - 36,1kg
2024-05-07,Elephant Yam,30,35 - 38,36 - 50,1kg
2024-05-07,Fenugreek Leaves,12,14 - 15,14 - 20,1kg
2024-05-07,French Beans,50,58 - 64,60 - 83,1kg
2024-05-07,Garlic,174,200 - 221,209 - 287,1kg
2024-05-07,Ginger,106,122 - 135,127 - 175,1kg
2024-05-07,Onion Green,43,49 - 55,52 - 71,1kg
2024-05-07,Green Peas,44,51 - 56,53 - 73,1kg
2024-05-07,Ivy Gourd,27,31 - 34,32 - 45,1kg
2024-05-07,Lemon (Lime),75,86 - 95,90 - 124,1kg
2024-05-07,Mango Raw,28,32 - 36,34 - 46,1kg
2024-05-07,Mint Leaves,4,5 - 5,5 - 7,1kg
2024-05-07,Mushroom,93,107 - 118,112 - 153,1kg
2024-05-07,Mustard Leaves,12,14 - 15,14 - 20,1kg
2024-05-07,Ladies Finger,41,47 - 52,49 - 68,1kg
2024-05-07,Pumpkin,21,24 - 27,25 - 35,1kg
2024-05-07,Radish,23,26 - 29,28 - 38,1kg
2024-05-07,Ridge Gourd,31,36 - 39,37 - 51,1kg
2024-05-07,Shallot (Pearl Onion),36,41 - 46,43 - 59,1kg
2024-05-07,Snake Gourd,26,30 - 33,31 - 43,1kg
2024-05-07,Sorrel Leaves,11,13 - 14,13 - 18,1kg
2024-05-07,Spinach,16,18 - 20,19 - 26,1kg
2024-05-07,Sweet Potato,40,46 - 51,48 - 66,1kg
2024-05-08,Onion Big,24,28 - 30,29 - 40,1kg
2024-05-08,Onion Small,33,38 - 42,40 - 54,1kg
2024-05-08,Tomato,25,29 - 32,30 - 41,1kg
2024-05-08,Green Chilli,40,46 - 51,48 - 66,1kg
2024-05-08,Beetroot,36,41 - 46,43 - 59,1kg
2024-05-08,Potato,28,32 - 36,34 - 46,1kg
2024-05-08,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-08,Amaranth Leaves,11,13 - 14,13 - 18,1kg
2024-05-08,Amla,60,69 - 76,72 - 99,1kg
2024-05-08,Ash gourd,21,24 - 27,25 - 35,1kg
2024-05-08,Baby Corn,61,70 - 77,73 - 101,1kg
2024-05-08,Banana Flower,15,17 - 19,18 - 25,1kg
2024-05-08,Capsicum,49,56 - 62,59 - 81,1kg
2024-05-08,Bitter Gourd,33,38 - 42,40 - 54,1kg
2024-05-08,Bottle Gourd,25,29 - 32,30 - 41,1kg
2024-05-08,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-08,Broad Beans,30,35 - 38,36 - 50,1kg
2024-05-08,Cabbage,20,23 - 25,24 - 33,1kg
2024-05-08,Carrot,46,53 - 58,55 - 76,1kg
2024-05-08,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-08,Cluster beans,40,46 - 51,48 - 66,1kg
2024-05-08,Coconut,37,43 - 47,44 - 61,1kg
2024-05-08,Colocasia Leaves,14,16 - 18,17 - 23,1kg
2024-05-08,Colocasia,28,32 - 36,34 - 46,1kg
2024-05-08,Coriander Leaves,7,8 - 9,8 - 12,1kg
2024-05-08,Corn,28,32 - 36,34 - 46,1kg
2024-05-08,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-08,Curry Leaves,28,32 - 36,34 - 46,1kg
2024-05-08,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-08,Drumsticks,50,58 - 64,60 - 83,1kg
2024-05-08,Brinjal,23,26 - 29,28 - 38,1kg
2024-05-08,Brinjal (Big),22,25 - 28,26 - 36,1kg
2024-05-08,Elephant Yam,30,35 - 38,36 - 50,1kg
2024-05-08,Fenugreek Leaves,12,14 - 15,14 - 20,1kg
2024-05-08,French Beans,50,58 - 64,60 - 83,1kg
2024-05-08,Garlic,174,200 - 221,209 - 287,1kg
2024-05-08,Ginger,106,122 - 135,127 - 175,1kg
2024-05-08,Onion Green,43,49 - 55,52 - 71,1kg
2024-05-08,Green Peas,44,51 - 56,53 - 73,1kg
2024-05-08,Ivy Gourd,27,31 - 34,32 - 45,1kg
2024-05-08,Lemon (Lime),75,86 - 95,90 - 124,1kg
2024-05-08,Mango Raw,28,32 - 36,34 - 46,1kg
2024-05-08,Mint Leaves,4,5 - 5,5 - 7,1kg
2024-05-08,Mushroom,93,107 - 118,112 - 153,1kg
2024-05-08,Mustard Leaves,12,14 - 15,14 - 20,1kg
2024-05-08,Ladies Finger,41,47 - 52,49 - 68,1kg
2024-05-08,Pumpkin,21,24 - 27,25 - 35,1kg
2024-05-08,Radish,23,26 - 29,28 - 38,1kg
2024-05-08,Ridge Gourd,31,36 - 39,37 - 51,1kg
2024-05-08,Shallot (Pearl Onion),36,41 - 46,43 - 59,1kg
2024-05-08,Snake Gourd,26,30 - 33,31 - 43,1kg
2024-05-08,Sorrel Leaves,11,13 - 14,13 - 18,1kg
2024-05-08,Spinach,16,18 - 20,19 - 26,1kg
2024-05-08,Sweet Potato,40,46 - 51,48 - 66,1kg
2024-05-09,Onion Big,24,28 - 30,29 - 40,1kg
